z	da/a	err	proc
1.072	-1.35	7.1640910100305115	1
1.072	17.07	9.317086454466331	1
2.309	-0.65	6.843917007094694	1
2.309	-0.2	12.925699207392999	1
1.371	-8.45	7.342050122411314	1
1.023	3.54	8.865438511433036	1
1.342	3.05	3.927709256042254	1
1.342	5.67	4.7139898175537045	1
1.622	-1.7	10.106478120492817	1
1.305	-4.54	8.665062030937804	1
1.971	4.72	4.7051036120366145	1
1.921	-4.65	6.413867787848453	1
1.1508	-1.42	0.8514693182963201	2
5.77905	51.666666666666664	58.333333333333336	3
6.002800000000001	-50.0	50.0	3
6.0385	-83.33333333333333	150.0	3
6.13255	-66.66666666666667	100.0	3
6.41895	6.666666666666667	20.0	3
0.576	-9.12	39.96610563965421	4
0.729	0.73	6.418862827635437	4
1.048	5.47	18.69727252836627	4
1.325	2.6	4.191288584671783	4
1.343	8.36	12.156397492678495	4
1.738	12.7	16.19684537186177	4
1100.0	-700.0	2500.0	5
400000000.0	2.1	1.8	6
0.14	0.0	0.1	7
0.0	0.0	1e-15	8
